,year,state,r_win,d_win,r_votes,d_votes
145,1980,VIRGINIA,9.0,1.0,1005272.0,486084.0
146,1980,WASHINGTON,2.0,5.0,792836.0,816133.0
147,1980,WEST VIRGINIA,2.0,2.0,294846.0,390986.0
148,1980,WISCONSIN,4.0,5.0,1055472.0,1071978.0
149,1980,WYOMING,1.0,0.0,116361.0,53338.0
150,1982,ALABAMA,2.0,5.0,272510.0,676584.0
151,1982,ALASKA,1.0,0.0,128274.0,52011.0
152,1982,ARIZONA,3.0,2.0,394872.0,300493.0
153,1982,ARKANSAS,2.0,2.0,361772.0,397466.0
154,1982,CALIFORNIA,17.0,28.0,3603102.0,3815205.0
155,1982,COLORADO,3.0,3.0,484936.0,448287.0
156,1982,CONNECTICUT,2.0,4.0,485491.0,577340.0
157,1982,DELAWARE,0.0,1.0,87153.0,98533.0
158,1982,FLORIDA,6.0,13.0,900204.0,1311344.0
159,1982,GEORGIA,1.0,9.0,225215.0,670110.0
160,1982,HAWAII,0.0,2.0,0.0,266851.0
161,1982,IDAHO,2.0,0.0,170150.0,150996.0
162,1982,ILLINOIS,10.0,12.0,1508308.0,2093272.0
163,1982,INDIANA,5.0,5.0,909691.0,882378.0
164,1982,IOWA,3.0,3.0,475366.0,528726.0
165,1982,KANSAS,3.0,2.0,400837.0,345507.0
166,1982,KENTUCKY,3.0,4.0,280352.0,413286.0
167,1982,LOUISIANA,2.0,6.0,2.0,6.0
168,1982,MAINE,2.0,0.0,260925.0,186970.0
169,1982,MARYLAND,1.0,7.0,348561.0,742600.0
170,1982,MASSACHUSETTS,1.0,10.0,561091.0,1300344.0
171,1982,MICHIGAN,6.0,12.0,1093425.0,1669522.0
172,1982,MINNESOTA,3.0,5.0,777584.0,956321.0
173,1982,MISSISSIPPI,2.0,3.0,259553.0,368403.0
174,1982,MISSOURI,3.0,6.0,653468.0,871682.0
175,1982,MONTANA,1.0,1.0,142370.0,165902.0
176,1982,NEBRASKA,3.0,0.0,402167.0,116107.0
177,1982,NEVADA,1.0,1.0,115863.0,114166.0
178,1982,NEW HAMPSHIRE,1.0,1.0,153974.0,114187.0
179,1982,NEW JERSEY,5.0,9.0,915472.0,1206416.0
180,1982,NEW MEXICO,2.0,1.0,191946.0,202802.0
181,1982,NEW YORK,14.0,20.0,1836065.0,2461350.0
182,1982,NORTH CAROLINA,2.0,9.0,579817.0,724269.0
183,1982,NORTH DAKOTA,0.0,1.0,72241.0,186534.0
184,1982,OHIO,11.0,10.0,1456712.0,1807305.0
185,1982,OKLAHOMA,1.0,5.0,310186.0,539413.0
186,1982,OREGON,2.0,3.0,436754.0,577949.0
187,1982,PENNSYLVANIA,10.0,13.0,1651922.0,1910988.0
188,1982,RHODE ISLAND,1.0,1.0,157535.0,174023.0
189,1982,SOUTH CAROLINA,3.0,3.0,295160.0,353111.0
190,1982,SOUTH DAKOTA,0.0,1.0,133530.0,142122.0
191,1982,TENNESSEE,3.0,6.0,469527.0,697823.0
192,1982,TEXAS,5.0,22.0,943598.0,1847048.0
193,1982,UTAH,3.0,0.0,312003.0,144987.0
194,1982,VERMONT,1.0,0.0,114191.0,38296.0
195,1982,VIRGINIA,6.0,4.0,690094.0,629678.0
196,1982,WASHINGTON,3.0,5.0,603916.0,689811.0
197,1982,WEST VIRGINIA,0.0,4.0,202380.0,343236.0
198,1982,WISCONSIN,4.0,5.0,667193.0,768616.0
199,1982,WYOMING,1.0,0.0,113236.0,46041.0
200,1984,ALABAMA,2.0,5.0,308182.0,821773.0
201,1984,ALASKA,1.0,0.0,113582.0,86052.0
202,1984,ARIZONA,4.0,1.0,602737.0,319560.0
203,1984,ARKANSAS,1.0,3.0,90842.0,341335.0
204,1984,CALIFORNIA,18.0,27.0,4423734.0,4327237.0
205,1984,COLORADO,4.0,2.0,779700.0,436041.0
206,1984,CONNECTICUT,3.0,3.0,761647.0,667668.0
207,1984,DELAWARE,0.0,1.0,100650.0,142070.0
208,1984,FLORIDA,7.0,12.0,1190779.0,1244692.0
209,1984,GEORGIA,2.0,8.0,430143.0,1090682.0
210,1984,HAWAII,0.0,2.0,40608.0,227261.0
211,1984,IDAHO,1.0,1.0,240218.0,164857.0
212,1984,ILLINOIS,9.0,13.0,2203506.0,2367383.0
213,1984,INDIANA,5.0,5.0,1146656.0,1022451.0
214,1984,IOWA,4.0,2.0,673343.0,595265.0
215,1984,KANSAS,3.0,2.0,541986.0,435071.0
216,1984,KENTUCKY,3.0,4.0,528862.0,656661.0
217,1984,LOUISIANA,2.0,6.0,2.0,6.0
218,1984,MAINE,2.0,0.0,374951.0,162319.0
219,1984,MARYLAND,2.0,6.0,535915.0,954873.0
220,1984,MASSACHUSETTS,1.0,10.0,703945.0,1618131.0
221,1984,MICHIGAN,7.0,11.0,1566916.0,1861442.0
222,1984,MINNESOTA,3.0,5.0,902268.0,1060800.0
223,1984,MISSISSIPPI,2.0,3.0,326826.0,523161.0
224,1984,MISSOURI,3.0,6.0,903027.0,1129689.0
225,1984,MONTANA,1.0,1.0,178726.0,187443.0
226,1984,NEBRASKA,3.0,0.0,482121.0,167617.0
227,1984,NEVADA,1.0,1.0,155166.0,109372.0
228,1984,NEW HAMPSHIRE,2.0,0.0,250602.0,119111.0
229,1984,NEW JERSEY,6.0,8.0,1470836.0,1508320.0
230,1984,NEW MEXICO,2.0,1.0,294165.0,201131.0
231,1984,NEW YORK,14.0,20.0,2722637.0,3072707.0
232,1984,NORTH CAROLINA,5.0,6.0,1026391.0,1130979.0
233,1984,NORTH DAKOTA,0.0,1.0,65761.0,242968.0
234,1984,OHIO,10.0,11.0,2159354.0,2134198.0
235,1984,OKLAHOMA,1.0,5.0,458053.0,645537.0
236,1984,OREGON,2.0,3.0,548201.0,655092.0
237,1984,PENNSYLVANIA,10.0,13.0,2111851.0,2531111.0
238,1984,RHODE ISLAND,1.0,1.0,194308.0,194925.0
239,1984,SOUTH CAROLINA,3.0,3.0,441256.0,470567.0
240,1984,SOUTH DAKOTA,0.0,1.0,134821.0,181401.0
241,1984,TENNESSEE,3.0,6.0,589118.0,726462.0
242,1984,TEXAS,10.0,17.0,1981823.0,2695028.0
243,1984,UTAH,3.0,0.0,387410.0,208223.0
244,1984,VERMONT,1.0,0.0,148025.0,60360.0
245,1984,VIRGINIA,6.0,4.0,1003211.0,795009.0
246,1984,WASHINGTON,3.0,5.0,799565.0,996950.0
247,1984,WEST VIRGINIA,0.0,4.0,275160.0,429209.0
248,1984,WISCONSIN,4.0,5.0,1032948.0,1033033.0
249,1984,WYOMING,1.0,0.0,138234.0,45857.0
250,1986,ALABAMA,2.0,5.0,436357.0,678716.0
251,1986,ALASKA,1.0,0.0,101799.0,74053.0
252,1986,ARIZONA,4.0,1.0,539940.0,260144.0
253,1986,ARKANSAS,1.0,3.0,268291.0,386672.0
254,1986,CALIFORNIA,18.0,27.0,3328109.0,3743542.0
255,1986,COLORADO,3.0,3.0,566236.0,449683.0
256,1986,CONNECTICUT,3.0,3.0,433977.0,544938.0
257,1986,DELAWARE,0.0,1.0,53767.0,106351.0
258,1986,FLORIDA,7.0,12.0,986783.0,1153714.0
259,1986,GEORGIA,2.0,8.0,289068.0,772986.0
260,1986,HAWAII,1.0,1.0,135054.0,186891.0
261,1986,IDAHO,1.0,1.0,207081.0,162758.0
262,1986,ILLINOIS,9.0,13.0,1393103.0,1622759.0
263,1986,INDIANA,4.0,6.0,756135.0,788419.0
264,1986,IOWA,4.0,2.0,461455.0,428022.0
265,1986,KANSAS,3.0,2.0,474570.0,312800.0
266,1986,KENTUCKY,3.0,4.0,252849.0,374742.0
267,1986,LOUISIANA,3.0,5.0,102278.0,288366.0
268,1986,MAINE,1.0,1.0,249030.0,165462.0
269,1986,MARYLAND,2.0,6.0,394393.0,668669.0
270,1986,MASSACHUSETTS,1.0,10.0,250385.0,1198143.0
271,1986,MICHIGAN,7.0,11.0,977122.0,1342034.0
272,1986,MINNESOTA,3.0,5.0,557741.0,831715.0
273,1986,MISSISSIPPI,1.0,4.0,208037.0,315526.0
274,1986,MISSOURI,4.0,5.0,599520.0,828403.0
275,1986,MONTANA,1.0,1.0,145778.0,172084.0
276,1986,NEBRASKA,3.0,0.0,358326.0,196691.0
277,1986,NEVADA,1.0,1.0,133821.0,121263.0
278,1986,NEW HAMPSHIRE,2.0,0.0,156218.0,84475.0
279,1986,NEW JERSEY,6.0,8.0,730596.0,811066.0
280,1986,NEW MEXICO,2.0,1.0,206815.0,178822.0
281,1986,NEW YORK,13.0,21.0,1550796.0,2023066.0
282,1986,NORTH CAROLINA,3.0,8.0,682447.0,890058.0
283,1986,NORTH DAKOTA,0.0,1.0,66989.0,216258.0
284,1986,OHIO,10.0,11.0,1536105.0,1512037.0
285,1986,OKLAHOMA,2.0,4.0,291098.0,430455.0
286,1986,OREGON,2.0,3.0,446462.0,584763.0
287,1986,PENNSYLVANIA,11.0,12.0,1525803.0,1762935.0
288,1986,RHODE ISLAND,1.0,1.0,176000.0,129663.0
289,1986,SOUTH CAROLINA,2.0,4.0,261489.0,453232.0
290,1986,SOUTH DAKOTA,0.0,1.0,118261.0,171462.0
291,1986,TENNESSEE,3.0,6.0,465208.0,636374.0
292,1986,TEXAS,10.0,17.0,1263413.0,1716978.0
293,1986,UTAH,2.0,1.0,229717.0,196683.0
294,1986,VERMONT,1.0,0.0,168403.0,0.0
295,1986,VIRGINIA,5.0,5.0,466747.0,544951.0
296,1986,WASHINGTON,3.0,5.0,527158.0,767678.0
297,1986,WEST VIRGINIA,0.0,4.0,96864.0,298956.0
298,1986,WISCONSIN,4.0,5.0,668708.0,704113.0
299,1986,WYOMING,1.0,0.0,111007.0,48780.0
300,1988,ALABAMA,2.0,5.0,432232.0,722200.0
301,1988,ALASKA,1.0,0.0,120595.0,71881.0
302,1988,ARIZONA,4.0,1.0,766111.0,321815.0
303,1988,ARKANSAS,1.0,3.0,252756.0,353165.0
304,1988,CALIFORNIA,18.0,27.0,4173715.0,4944646.0
305,1988,COLORADO,3.0,3.0,667091.0,645469.0
306,1988,CONNECTICUT,3.0,3.0,676817.0,660360.0
307,1988,DELAWARE,0.0,1.0,76179.0,158338.0
308,1988,FLORIDA,9.0,10.0,1615569.0,1430885.0
309,1988,GEORGIA,1.0,9.0,556817.0,1115343.0
310,1988,HAWAII,1.0,1.0,96848.0,221196.0
311,1988,IDAHO,1.0,1.0,203447.0,198284.0
312,1988,ILLINOIS,8.0,14.0,2022568.0,2317444.0
313,1988,INDIANA,4.0,6.0,1023124.0,1096834.0
314,1988,IOWA,4.0,2.0,606647.0,580200.0
315,1988,KANSAS,3.0,2.0,565308.0,366757.0
316,1988,KENTUCKY,3.0,4.0,564433.0,534313.0
317,1988,LOUISIANA,4.0,4.0,116244.0,88568.0
318,1988,MAINE,1.0,1.0,278351.0,276335.0
319,1988,MARYLAND,2.0,6.0,624021.0,936963.0
320,1988,MASSACHUSETTS,1.0,10.0,509360.0,1787467.0
321,1988,MICHIGAN,7.0,11.0,1604946.0,1824103.0
322,1988,MINNESOTA,3.0,0.0,809624.0,0.0
323,1988,MISSISSIPPI,1.0,4.0,307555.0,606715.0
324,1988,MISSOURI,4.0,5.0,909599.0,1148292.0
325,1988,MONTANA,1.0,1.0,171870.0,193347.0
326,1988,NEBRASKA,2.0,1.0,425726.0,229524.0
327,1988,NEVADA,1.0,1.0,159569.0,176927.0
328,1988,NEW HAMPSHIRE,2.0,0.0,251566.0,176300.0
329,1988,NEW JERSEY,6.0,8.0,1411840.0,1336325.0
330,1988,NEW MEXICO,2.0,1.0,236263.0,209076.0
331,1988,NEW YORK,13.0,21.0,2249694.0,2870952.0
332,1988,NORTH CAROLINA,3.0,8.0,876362.0,1108311.0
333,1988,NORTH DAKOTA,0.0,1.0,84475.0,212583.0
334,1988,OHIO,10.0,11.0,2123098.0,2098271.0
335,1988,OKLAHOMA,2.0,4.0,361538.0,405667.0
336,1988,OREGON,2.0,3.0,357701.0,664564.0
337,1988,PENNSYLVANIA,11.0,12.0,2069885.0,2117078.0
338,1988,RHODE ISLAND,2.0,0.0,250724.0,140270.0
339,1988,SOUTH CAROLINA,2.0,4.0,439476.0,549652.0
340,1988,SOUTH DAKOTA,0.0,1.0,88157.0,223759.0
341,1988,TENNESSEE,3.0,6.0,536480.0,844210.0
342,1988,TEXAS,8.0,19.0,1834135.0,2735940.0
343,1988,UTAH,2.0,1.0,341056.0,260123.0
344,1988,VERMONT,1.0,0.0,98937.0,45330.0
345,1988,VIRGINIA,5.0,5.0,1076895.0,801831.0
346,1988,WASHINGTON,3.0,5.0,742844.0,988386.0
347,1988,WEST VIRGINIA,0.0,4.0,131963.0,436616.0
348,1988,WISCONSIN,4.0,5.0,997265.0,1035249.0
349,1988,WYOMING,1.0,0.0,118350.0,56527.0
350,1990,ALABAMA,2.0,5.0,314735.0,689987.0
351,1990,ALASKA,1.0,0.0,99003.0,91677.0
352,1990,ARIZONA,4.0,1.0,620906.0,344604.0
353,1990,ARKANSAS,1.0,3.0,295877.0,369194.0
354,1990,CALIFORNIA,19.0,26.0,3346962.0,3567775.0
355,1990,COLORADO,3.0,3.0,487326.0,503549.0
356,1990,CONNECTICUT,3.0,3.0,545751.0,489206.0
357,1990,DELAWARE,0.0,1.0,58037.0,116274.0
358,1990,FLORIDA,10.0,9.0,1163088.0,1212979.0
359,1990,GEORGIA,1.0,9.0,538865.0,854784.0
360,1990,HAWAII,0.0,2.0,117607.0,215777.0
361,1990,IDAHO,0.0,2.0,131450.0,183062.0
362,1990,ILLINOIS,7.0,15.0,1349079.0,1646340.0
363,1990,INDIANA,2.0,8.0,682593.0,830500.0
